Customer,Region,Product,Purchase
1,North,A,Yes
2,North,B,Yes
3,North,B,No
4,North,B,No
5,North,A,Yes
6,South,A,Yes
7,South,B,Yes
8,South,A,Yes
9,South,A,No
10,South,B,Yes
11,East,A,No
12,East,A,No
13,East,B,Yes
14,East,A,No
15,East,A,No
16,West,B,No
17,West,A,No
18,West,A,No
19,West,B,No
20,West,A,Yes
21,North,A,Yes
22,North,B,Yes
23,North,B,No
24,North,B,No
25,North,A,Yes
26,South,A,Yes
27,South,B,Yes
28,South,A,Yes
29,South,A,No
30,South,B,Yes
31,East,A,No
32,East,A,No
33,East,B,Yes
34,East,A,No
35,East,A,No
36,West,B,No
37,West,A,No
38,West,A,No
39,West,B,No
40,West,A,Yes
41,North,A,Yes
42,North,B,Yes
43,North,B,No
44,North,B,No
45,North,A,Yes
46,South,A,Yes
47,South,B,Yes
48,South,A,Yes
49,South,A,No
50,South,B,Yes
51,East,A,No
52,East,A,No
53,East,B,Yes
54,East,A,No
55,East,A,No
56,West,B,No
57,West,A,No
58,West,A,No
59,West,B,No
60,West,A,Yes
61,North,A,Yes
62,North,B,Yes
63,North,B,No
64,North,B,No
65,North,A,Yes
66,South,A,Yes
67,South,B,Yes
68,South,A,Yes
69,South,A,No
70,South,B,Yes
71,East,A,No
72,East,A,No
73,East,B,Yes
74,East,A,No
75,East,A,No
76,West,B,No
77,West,A,No
78,West,A,No
79,West,B,No
80,West,A,Yes
81,North,A,Yes
82,North,B,Yes
83,North,B,No
84,North,B,No
85,North,A,Yes
86,South,A,Yes
87,South,B,Yes
88,South,A,Yes
89,South,A,No
90,South,B,Yes
91,East,A,No
92,East,A,No
93,East,B,Yes
94,East,A,No
95,East,A,No
96,West,B,No
97,West,A,No
98,West,A,No
99,West,B,No
100,West,A,Yes
101,North,A,Yes
102,North,B,Yes
103,North,B,No
104,North,B,No
105,North,A,Yes
106,South,A,Yes
107,South,B,Yes
108,South,A,Yes
109,South,A,No
110,South,B,Yes
111,East,A,No
112,East,A,No
113,East,B,Yes
114,East,A,No
115,East,A,No
116,West,B,No
117,West,A,No
118,West,A,No
119,West,B,No
120,West,A,Yes
121,North,A,Yes
122,North,B,Yes
123,North,B,No
124,North,B,No
125,North,A,Yes
126,South,A,Yes
127,South,B,Yes
128,South,A,Yes
129,South,A,No
130,South,B,Yes
131,East,A,No
132,East,A,No
133,East,B,Yes
134,East,A,No
135,East,A,No
136,West,B,No
137,West,A,No
138,West,A,No
139,West,B,No
140,West,A,Yes
141,North,A,Yes
142,North,B,Yes
143,North,B,No
144,North,B,No
145,North,A,Yes
146,South,A,Yes
147,South,B,Yes
148,South,A,Yes
149,South,A,No
150,South,B,Yes
151,East,A,No
152,East,A,No
153,East,B,Yes
154,East,A,No
155,East,A,No
156,West,B,No
157,West,A,No
158,West,A,No
159,West,B,No
160,West,A,Yes
161,North,A,Yes
162,North,B,Yes
163,North,B,No
164,North,B,No
165,North,A,Yes
166,South,A,Yes
167,South,B,Yes
168,South,A,Yes
169,South,A,No
170,South,B,Yes
171,East,A,No
172,East,A,No
173,East,B,Yes
174,East,A,No
175,East,A,No
176,West,B,No
177,West,A,No
178,West,A,No
179,West,B,No
180,West,A,Yes
181,North,A,Yes
182,North,B,Yes
183,North,B,No
184,North,B,No
185,North,A,Yes
186,South,A,Yes
187,South,B,Yes
188,South,A,Yes
189,South,A,No
190,South,B,Yes
191,East,A,No
192,East,A,No
193,East,B,Yes
194,East,A,No
195,East,A,No
196,West,B,No
197,West,A,No
198,West,A,No
199,West,B,No
200,West,A,Yes
201,North,A,Yes
202,North,B,Yes
203,North,B,No
204,North,B,No
205,North,A,Yes
206,South,A,Yes
207,South,B,Yes
208,South,A,Yes
209,South,A,No
210,South,B,Yes
211,East,A,No
212,East,A,No
213,East,B,Yes
214,East,A,No
215,East,A,No
216,West,B,No
217,West,A,No
218,West,A,No
219,West,B,No
220,West,A,Yes
221,North,A,Yes
222,North,B,Yes
223,North,B,No
224,North,B,No
225,North,A,Yes
226,South,A,Yes
227,South,B,Yes
228,South,A,Yes
229,South,A,No
230,South,B,Yes
231,East,A,No
232,East,A,No
233,East,B,Yes
234,East,A,No
235,East,A,No
236,West,B,No
237,West,A,No
238,West,A,No
239,West,B,No
240,West,A,Yes
